,Model,Activity,Age,Weight_kg,Height_m,Muscle_Name,Value
36,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,IL_R8_r,1.11341416
37,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,IL_R9_r,1.07647549
38,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,IL_R10_r,2.14987913
39,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,IL_R11_r,2.34625710
40,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,IL_R12_r,1.86554074
41,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,IL_R5_l,0.85025326
42,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,IL_R6_l,1.05541905
43,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,IL_R7_l,1.27592150
44,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,IL_R8_l,1.12862485
45,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,IL_R9_l,1.08717841
46,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,IL_R10_l,2.15796921
47,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,IL_R11_l,2.34290112
48,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,IL_R12_l,1.85055709
49,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_T1_r,25.58298117
50,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_T2_r,3.23623521
51,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_T3_r,26.86257841
52,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_T4_r,1.06780745
53,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_T5_r,1.00600192
54,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_T6_r,1.28965205
55,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_T7_r,0.94819428
56,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_T8_r,1.44282704
57,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_T9_r,1.42482897
58,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_T10_r,1.10534201
59,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_T11_r,1.05771222
60,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_T12_r,0.87734498
61,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_R4_r,1.04832927
62,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_R5_r,0.91110388
63,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_R6_r,1.30645901
64,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_R7_r,0.96804286
65,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_R8_r,1.58367325
66,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_R9_r,1.14642913
67,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_R10_r,1.11530638
