sex,age_group,model_file,lumbar5_x,lumbar5_y,lumbar5_z,lumbar4_x,lumbar4_y,lumbar4_z,lumbar3_x,lumbar3_y,lumbar3_z,lumbar2_x,lumbar2_y,lumbar2_z,lumbar1_x,lumbar1_y,lumbar1_z,thoracic12_x,thoracic12_y,thoracic12_z,thoracic11_x,thoracic11_y,thoracic11_z,thoracic10_x,thoracic10_y,thoracic10_z,thoracic9_x,thoracic9_y,thoracic9_z,thoracic8_x,thoracic8_y,thoracic8_z,thoracic7_x,thoracic7_y,thoracic7_z,thoracic6_x,thoracic6_y,thoracic6_z,thoracic5_x,thoracic5_y,thoracic5_z,thoracic4_x,thoracic4_y,thoracic4_z,thoracic3_x,thoracic3_y,thoracic3_z,thoracic2_x,thoracic2_y,thoracic2_z,thoracic1_x,thoracic1_y,thoracic1_z
Male,Age7079,134_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.018847,0.105753,0.0,-0.003995,0.144443,0.0,-0.001978,0.182924,0.0,-0.00772,0.219182,0.0,-0.009208,0.254188,0.0,-0.016494,0.286135,0.0,-0.024052,0.316751,0.0,-0.02954,0.34485,0.0,-0.035192,0.371035,0.0,-0.04014,0.395808,0.0,-0.044593,0.420556,0.0,-0.046386,0.443955,0.0,-0.045822,0.467629,0.0,-0.041319,0.490408,0.0,-0.034957,0.515233,0.0,-0.027628,0.537303,0.0,-0.019893,0.557068,0.0
Male,Age7079,139_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.017534,0.098385,0.0,-0.003717,0.134381,0.0,-0.00184,0.170181,0.0,-0.007198,0.20401,0.0,-0.008861,0.237934,0.0,-0.010948,0.269605,0.0,-0.012222,0.299221,0.0,-0.012455,0.327922,0.0,-0.013486,0.353512,0.0,-0.014744,0.378546,0.0,-0.015919,0.401912,0.0,-0.018445,0.424376,0.0,-0.01728,0.445647,0.0,-0.013031,0.466978,0.0,-0.007892,0.490259,0.0,-0.001766,0.511009,0.0,0.004809,0.529628,0.0
Male,Age7079,150_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.016145,0.090589,0.0,-0.003422,0.123732,0.0,-0.001695,0.156695,0.0,-0.006955,0.189909,0.0,-0.000903,0.22327,0.0,-0.007714,0.254005,0.0,-0.015761,0.282192,0.0,-0.022049,0.30851,0.0,-0.027451,0.332784,0.0,-0.030567,0.357379,0.0,-0.036515,0.380461,0.0,-0.041882,0.403369,0.0,-0.046205,0.425387,0.0,-0.045198,0.447358,0.0,-0.038333,0.468209,0.0,-0.030799,0.486649,0.0,-0.023051,0.503097,0.0
Male,Age7079,206_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.018054,0.1013,0.0,-0.003827,0.138362,0.0,-0.001895,0.175223,0.0,-0.007304,0.209377,0.0,-0.015087,0.244123,0.0,-0.024204,0.276882,0.0,-0.031487,0.308134,0.0,-0.035327,0.337087,0.0,-0.040306,0.364726,0.0,-0.043198,0.389474,0.0,-0.044382,0.413732,0.0,-0.045163,0.437311,0.0,-0.040804,0.461146,0.0,-0.033592,0.483683,0.0,-0.023206,0.505926,0.0,-0.012397,0.525403,0.0,-0.001614,0.54264,0.0
Male,Age7079,291_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.017923,0.100568,0.0,-0.003799,0.137361,0.0,-0.001881,0.173956,0.0,-0.007464,0.209201,0.0,-0.014082,0.243837,0.0,-0.022082,0.277488,0.0,-0.030753,0.306591,0.0,-0.038166,0.333435,0.0,-0.045335,0.358556,0.0,-0.049902,0.382669,0.0,-0.053199,0.406604,0.0,-0.055535,0.430078,0.0,-0.055779,0.453299,0.0,-0.054292,0.475756,0.0,-0.049366,0.499624,0.0,-0.043396,0.520917,0.0,-0.036938,0.540041,0.0
Male,Age7079,321_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.017923,0.100568,0.0,-0.003799,0.137361,0.0,-0.001881,0.173956,0.0,-0.00711,0.206971,0.0,-0.009815,0.239302,0.0,-0.019176,0.269979,0.0,-0.029442,0.300547,0.0,-0.038561,0.328743,0.0,-0.043523,0.356961,0.0,-0.044851,0.38353,0.0,-0.043439,0.408269,0.0,-0.041911,0.433162,0.0,-0.040703,0.457332,0.0,-0.03837,0.480343,0.0,-0.034531,0.504409,0.0,-0.029533,0.525951,0.0,-0.023948,0.545347,0.0
Male,Age7079,362_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.016145,0.090589,0.0,-0.003422,0.123732,0.0,-0.001695,0.156695,0.0,-0.006569,0.187468,0.0,-0.014422,0.214787,0.0,-0.025341,0.243274,0.0,-0.030632,0.273434,0.0,-0.034031,0.299544,0.0,-0.037051,0.324611,0.0,-0.036686,0.348213,0.0,-0.038325,0.369334,0.0,-0.035186,0.391103,0.0,-0.032493,0.413672,0.0,-0.028735,0.435201,0.0,-0.022803,0.456336,0.0,-0.016094,0.475093,0.0,-0.009083,0.491868,0.0
Male,Age7079,379_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.018185,0.102036,0.0,-0.003855,0.139367,0.0,-0.001909,0.176495,0.0,-0.007535,0.212016,0.0,-0.008341,0.247647,0.0,-0.013654,0.283196,0.0,-0.023864,0.314877,0.0,-0.036658,0.343408,0.0,-0.048426,0.368623,0.0,-0.055232,0.393313,0.0,-0.060149,0.417626,0.0,-0.061213,0.441742,0.0,-0.060655,0.465644,0.0,-0.05653,0.488573,0.0,-0.046949,0.511367,0.0,-0.036833,0.531395,0.0,-0.026656,0.549166,0.0
Male,Age7079,419_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.017022,0.095513,0.0,-0.003608,0.130458,0.0,-0.001787,0.165213,0.0,-0.007154,0.199099,0.0,-0.009857,0.232063,0.0,-0.014618,0.263415,0.0,-0.020881,0.293013,0.0,-0.026599,0.319094,0.0,-0.031483,0.34293,0.0,-0.036213,0.365438,0.0,-0.039609,0.387394,0.0,-0.041681,0.408607,0.0,-0.041047,0.42902,0.0,-0.039225,0.449555,0.0,-0.035522,0.472403,0.0,-0.030723,0.49285,0.0,-0.025372,0.511258,0.0
Male,Age7079,452_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.016021,0.089896,0.0,-0.003396,0.122785,0.0,-0.001682,0.155496,0.0,-0.007076,0.189556,0.0,-0.016129,0.222508,0.0,-0.029811,0.252536,0.0,-0.042292,0.280064,0.0,-0.048861,0.306323,0.0,-0.051679,0.332232,0.0,-0.05025,0.358551,0.0,-0.048637,0.382914,0.0,-0.047707,0.40642,0.0,-0.040865,0.429053,0.0,-0.035051,0.451999,0.0,-0.027199,0.472319,0.0,-0.018805,0.490216,0.0,-0.010299,0.506128,0.0
Male,Age7079,454_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.019385,0.108774,0.0,-0.004109,0.14857,0.0,-0.002035,0.18815,0.0,-0.007502,0.222671,0.0,-0.014548,0.254488,0.0,-0.025336,0.28592,0.0,-0.034142,0.318598,0.0,-0.040597,0.350353,0.0,-0.046387,0.379916,0.0,-0.051914,0.40614,0.0,-0.056272,0.431724,0.0,-0.057453,0.45701,0.0,-0.057182,0.482143,0.0,-0.052747,0.507298,0.0,-0.046699,0.532953,0.0,-0.0396,0.555795,0.0,-0.032038,0.576274,0.0
Male,Age7079,479_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.018316,0.102774,0.0,-0.003882,0.140375,0.0,-0.001923,0.177772,0.0,-0.007775,0.214721,0.0,-0.016842,0.248509,0.0,-0.024071,0.280034,0.0,-0.033489,0.308235,0.0,-0.040213,0.33572,0.0,-0.044619,0.360048,0.0,-0.046853,0.384098,0.0,-0.049451,0.406604,0.0,-0.04906,0.429334,0.0,-0.04813,0.451375,0.0,-0.044064,0.471987,0.0,-0.034185,0.494849,0.0,-0.023795,0.514919,0.0,-0.013367,0.532716,0.0
