Directory,Filename,spine_height,trunk_mass,sex,Min Age (year),Max Age (year),height (m),weight (kg)
.\Male\Age6069,636_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.437775721,50.00411938,male,60,69,1.73863237,83.32646783
.\Male\Age6069,674_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.449793267,50.82385904,male,60,69,1.786360222,84.6924755
.\Male\Age6069,685_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.446275856,52.19009181,male,60,69,1.772390777,86.96915495
.\Male\Age6069,898_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.477409964,54.10281769,male,60,69,1.896040319,90.15650618
.\Male\Age6069,900_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.422578275,54.10281769,male,60,69,1.678275501,90.15650618
.\Male\Age6069,977_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.454840182,59.84099532,male,60,69,1.806404113,99.71855987
.\Male\Age6069,978_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.478277025,54.6493108,male,60,69,1.899483865,91.06717796
.\Male\Age7079,134_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.451315549,54.6493108,male,70,79,1.792405984,91.06717796
.\Male\Age7079,139_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.431242952,49.18437972,male,70,79,1.712687389,81.96046016
.\Male\Age7079,150_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.412508583,51.37035215,male,70,79,1.638283579,85.60314728
.\Male\Age7079,206_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.441339208,53.55632458,male,70,79,1.752784808,89.2458344
.\Male\Age7079,291_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.439472927,49.18437972,male,70,79,1.745372847,81.96046016
.\Male\Age7079,321_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.444779786,52.73658492,male,70,79,1.766449113,87.87982673
.\Male\Age7079,362_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.401279712,37.16153134,male,70,79,1.593687961,61.92568101
.\Male\Age7079,379_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.447130746,51.09710559,male,70,79,1.775785982,85.14781139
.\Male\Age7079,419_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.415745131,46.45191418,male,70,79,1.651137575,77.40710127
.\Male\Age7079,452_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.416231952,57.38177634,male,70,79,1.653070991,95.62053686
.\Male\Age7079,454_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.467500501,45.90542107,male,70,79,1.856684749,76.49642949
.\Male\Age7079,479_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.42994226,63.66644708,male,70,79,1.70752167,106.0932623
.\Male\Age7079,492_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.479984893,47.27165384,male,70,79,1.906266686,78.77310893
.\Male\Age7079,534_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.384805193,62.84670742,male,70,79,1.52825918,104.7272547
.\Male\Age7079,540_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.424433932,41.80672276,male,70,79,1.685645268,69.66639114
.\Male\Age7079,693_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.448222321,65.3059264,male,70,79,1.780121187,108.8252777
.\Male\Age7079,694_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.492821757,53.82957113,male,70,79,1.957248468,89.70117029
.\Male\Age7079,702_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.418371969,48.36464005,male,70,79,1.661570101,80.59445249
.\Male\Age7079,784_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.434558959,52.19009181,male,70,79,1.725856957,86.96915495
.\Male\Age7079,813_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.45649411,60.38748843,male,70,79,1.812972712,100.6292316
.\Male\Age7079,888_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.445714214,44.26594175,male,70,79,1.770160206,73.76441415
.\Male\Age7079,913_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.420898718,44.81243485,male,70,79,1.671605117,74.67508593
.\Male\Age7079,940_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.462824137,51.6435987,male,70,79,1.838112501,86.05848317
.\Male\Age7079,948_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.44180519,52.73658492,male,70,79,1.754635464,87.87982673
.\Male\Age7079,997_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.444800815,73.77656958,male,70,79,1.76653263,122.9406902
.\Male\Age80plus,122_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.414214146,51.6435987,male,80,100,1.645057248,86.05848317
.\Male\Age80plus,254_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.434561634,49.45762627,male,80,100,1.725867579,82.41579605
.\Male\Age80plus,325_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.446537236,67.21865228,male,80,100,1.773428847,112.0126289
.\Male\Age80plus,335_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.475173497,55.74229701,male,80,100,1.887158158,92.88852152
.\Male\Age80plus,383_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.39064856,52.19009181,male,80,100,1.551466193,86.96915495
.\Male\Age80plus,401_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.402298283,40.9869831,male,80,100,1.597733233,68.30038347
.\Male\Age80plus,412_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.477352883,53.55632458,male,80,100,1.895813619,89.2458344
.\Male\Age80plus,420_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.451433133,54.6493108,male,80,100,1.792872973,91.06717796
.\Male\Age80plus,433_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.469773298,53.28307803,male,80,100,1.865711193,88.79049851
.\Male\Age80plus,465_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.415638863,52.19009181,male,80,100,1.650715531,86.96915495
.\Male\Age80plus,483_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.468706006,61.20722809,male,80,100,1.861472429,101.9952393
.\Male\Age80plus,508_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.439043725,44.5391883,male,80,100,1.743668265,74.21975004
.\Male\Age80plus,549_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.427496311,44.26594175,male,80,100,1.697807552,73.76441415
.\Male\Age80plus,553_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.420457905,47.27165384,male,80,100,1.669854422,78.77310893
.\Male\Age80plus,608_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.433964682,58.47476255,male,80,100,1.723496775,97.44188042
.\Male\Age80plus,642_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.415911608,36.61503823,male,80,100,1.651798741,61.01500923
.\Male\Age80plus,748_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.416544226,37.70802445,male,80,100,1.654311193,62.83635279
.\Male\Age80plus,750_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.436068677,59.56774877,male,80,100,1.731852823,99.26322398
.\Male\Age80plus,776_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.411180416,37.4347779,male,80,100,1.633008745,62.3810169
.\Male\Age80plus,795_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.464227777,53.00983147,male,80,100,1.843687078,88.33516262
.\Male\Age80plus,805_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.421202226,45.90542107,male,80,100,1.672810505,76.49642949
.\Male\Age80plus,908_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.408733938,54.92255735,male,80,100,1.623292525,91.52251385
.\Male\Age80plus,935_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.426845671,34.15581925,male,80,100,1.695223523,56.91698622
.\Male\Age80plus,949_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.421530524,54.6493108,male,80,100,1.674114345,91.06717796
.\Male\Age80plus,957_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.430223394,49.45762627,male,80,100,1.7086382,82.41579605
